,name,symbol,country,indices,industries,symbols,metadata,isins,wiki_name
67,Align Technology Inc.,ALGN,United States,"['NASDAQ 100', 'S&P 500']","['Medical Equipment, Supplies & Distribution', 'Healthcare', 'Healthcare Services', 'Healthcare Equipment & Supplies']","[{'yahoo': 'AFW.F', 'google': 'FRA:AFW', 'currency': 'EUR'}, {'yahoo': 'ALGN', 'google': 'NASDAQ:ALGN', 'currency': 'USD'}, {'yahoo': '0HCK.L', 'google': 'LON:0HCK', 'currency': 'GBP'}]","{'founded': 1997, 'employees': 15319}",['US0162551016'],
68,American Electric Power Company Inc.,AEP,United States,"['NASDAQ 100', 'S&P 500']","['Electric Utilities', 'Electric Utilities & IPPs', 'Utilities']","[{'yahoo': 'AEP.F', 'google': 'FRA:AEP', 'currency': 'EUR'}, {'yahoo': 'AEP', 'google': 'NASDAQ:AEP', 'currency': 'USD'}, {'yahoo': '0HEC.L', 'google': 'LON:0HEC', 'currency': 'GBP'}]","{'founded': 1906, 'employees': 17666}",[],
69,ANSYS Inc.,ANSS,United States,"['NASDAQ 100', 'S&P 500']","['Software', 'Technology', 'Software & IT Services']","[{'yahoo': 'AKX.F', 'google': 'FRA:AKX', 'currency': 'EUR'}, {'yahoo': 'ANSS', 'google': 'NASDAQ:ANSS', 'currency': 'USD'}, {'yahoo': '0HG3.L', 'google': 'LON:0HG3', 'currency': 'GBP'}]","{'founded': 1970, 'employees': 4100}",[],
70,Broadcom Inc.,AVGO,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': '1YD.F', 'google': 'FRA:1YD', 'currency': 'EUR'}, {'yahoo': 'AVGO', 'google': 'NASDAQ:AVGO', 'currency': 'USD'}, {'yahoo': '0YXG.L', 'google': 'LON:0YXG', 'currency': 'GBP'}]","{'founded': 1961, 'employees': 21000}",[],
71,Cadence Design Systems Inc.,CDNS,United States,"['NASDAQ 100', 'S&P 500']","['Software', 'Technology', 'Software & IT Services']","[{'yahoo': 'CDS.F', 'google': 'FRA:CDS', 'currency': 'EUR'}, {'yahoo': 'CDNS', 'google': 'NASDAQ:CDNS', 'currency': 'USD'}, {'yahoo': '0HS2.L', 'google': 'LON:0HS2', 'currency': 'GBP'}]","{'founded': 1988, 'employees': 8900}",[],
72,Cintas Corporation,CTAS,United States,"['NASDAQ 100', 'S&P 500']","['Business Support Services', 'Industrials', 'Professional & Commercial Services', 'Industrial & Commercial Services']","[{'yahoo': 'CIT.F', 'google': 'FRA:CIT', 'currency': 'EUR'}, {'yahoo': 'CTAS', 'google': 'NASDAQ:CTAS', 'currency': 'USD'}, {'yahoo': '0HYJ.L', 'google': 'LON:0HYJ', 'currency': 'GBP'}]","{'founded': 1929, 'employees': 40000}",[],
73,Copart Inc.,CPRT,United States,"['NASDAQ 100', 'S&P 500']","['Auto Vehicles, Parts & Service Retailers', 'Retailers', 'Specialty Retailers', 'Consumer Cyclicals']","[{'yahoo': 'CO6.F', 'google': 'FRA:CO6', 'currency': 'EUR'}, {'yahoo': 'CPRT', 'google': 'NASDAQ:CPRT', 'currency': 'USD'}]","{'founded': 1982, 'employees': 7600}",[],
74,Fox Corporation,FOXA,United States,"['NASDAQ 100', 'S&P 500']","['Media & Publishing', 'Cyclical Consumer Services', 'Broadcasting', 'Consumer Cyclicals']","[{'yahoo': 'FOXA', 'google': 'NASDAQ:FOXA', 'currency': 'USD'}, {'yahoo': 'FXBY', 'google': 'OTCMKTS:FXBY', 'currency': 'USD'}, {'yahoo': 'FOX', 'google': 'NASDAQ:FOX', 'currency': 'USD'}, {'yahoo': 'FO5B.F', 'google': 'FRA:FO5B', 'currency': 'EUR'}, {'yahoo': '0A0Y.L', 'google': 'LON:0A0Y', 'currency': 'GBP'}]","{'founded': 2019, 'employees': 9000}","['US35137L1052', 'US35137L2043']",
75,IDEXX Laboratories Inc.,IDXX,United States,"['NASDAQ 100', 'S&P 500']","['Medical Equipment, Supplies & Distribution', 'Healthcare', 'Healthcare Services', 'Healthcare Equipment & Supplies']","[{'yahoo': 'IX1.F', 'google': 'FRA:IX1', 'currency': 'EUR'}, {'yahoo': 'IDXX', 'google': 'NASDAQ:IDXX', 'currency': 'USD'}, {'yahoo': '0J8P.L', 'google': 'LON:0J8P', 'currency': 'GBP'}]","{'founded': 1983, 'employees': 9200}",[],
76,KLA-Tencor Corporation,KLAC,United States,"['NASDAQ 100', 'S&P 500']","['Semiconductor Equipment & Testing', 'Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment']","[{'yahoo': 'KLA.F', 'google': 'FRA:KLA', 'currency': 'EUR'}, {'yahoo': 'KLAC', 'google': 'NASDAQ:KLAC', 'currency': 'USD'}, {'yahoo': '0JPO.L', 'google': 'LON:0JPO', 'currency': 'GBP'}]","{'founded': 1997, 'employees': 10600}",[],
